Year,holc_grade,n_obs,cumsum_n_obs,area_sum,sampling_density
2017,C,279144,279144,4364.636811697716,63.95583688701492
2018,C,358338,358338,4364.636811697716,82.1003019173586
2019,C,429258,429258,4364.636811697716,98.34907657139773
2020,C,713063,713063,4364.636811697716,163.37281445478146
2021,C,792314,792314,4364.636811697716,181.53033899098077
2022,C,10988,10988,4364.636811697716,2.517506146342103
1932,D,199,199,2688.5107448237172,0.07401867386364053
1933,D,214,214,2688.5107448237172,0.07959797088853805
1934,D,219,219,2688.5107448237172,0.0814577365635039
1935,D,120,120,2688.5107448237172,0.04463437619918022
1936,D,96,96,2688.5107448237172,0.03570750095934417
1937,D,64,64,2688.5107448237172,0.02380500063956278
1938,D,510,510,2688.5107448237172,0.18969609884651592
1939,D,606,606,2688.5107448237172,0.22540359980586008
1940,D,579,579,2688.5107448237172,0.21536086516104455
1941,D,259,259,2688.5107448237172,0.09633586196323063
1942,D,115,115,2688.5107448237172,0.04277461052421437
1943,D,49,49,2688.5107448237172,0.018225703614665256
1944,D,156,156,2688.5107448237172,0.05802468905893428
1945,D,126,126,2688.5107448237172,0.04686609500913923
1946,D,940,940,2688.5107448237172,0.34963594689357835
1947,D,343,343,2688.5107448237172,0.12757992530265677
1948,D,242,242,2688.5107448237172,0.09001265866834678
1949,D,597,597,2688.5107448237172,0.22205602159092158
1950,D,354,354,2688.5107448237172,0.13167140978758163
1951,D,312,312,2688.5107448237172,0.11604937811786856
1952,D,401,401,2688.5107448237172,0.14915320713226055
1953,D,307,307,2688.5107448237172,0.11418961244290272
1954,D,2070,2070,2688.5107448237172,0.7699429894358587
1955,D,712,712,2688.5107448237172,0.26483063211513597
1956,D,2232,2232,2688.5107448237172,0.830199397304752
1957,D,1007,1007,2688.5107448237172,0.37455680693812066
1958,D,519,519,2688.5107448237172,0.19304367706145442
1959,D,500,500,2688.5107448237172,0.18597656749658423
1960,D,741,741,2688.5107448237172,0.2756172730299378
1961,D,759,759,2688.5107448237172,0.2823124294598149
1962,D,867,867,2688.5107448237172,0.32248336803907707
1963,D,671,671,2688.5107448237172,0.24958055358041603
1964,D,828,828,2688.5107448237172,0.3079771957743435
1965,D,967,967,2688.5107448237172,0.3596786815383939
1966,D,381,381,2688.5107448237172,0.1417141444323972
1967,D,363,363,2688.5107448237172,0.13501898800252016
1968,D,503,503,2688.5107448237172,0.18709242690156375
1969,D,621,621,2688.5107448237172,0.23098289683075762
1970,D,407,407,2688.5107448237172,0.15138492594221956
1971,D,437,437,2688.5107448237172,0.1625435199920146
1972,D,751,751,2688.5107448237172,0.2793368043798695
1973,D,514,514,2688.5107448237172,0.1911839113864886
1974,D,823,823,2688.5107448237172,0.30611743009937764
1975,D,551,551,2688.5107448237172,0.20494617738123583
