Year,holc_grade,n_obs,cumsum_n_obs,area_sum,sampling_density
1956,C,192,11668,4364.636811697716,2.673303760058214
1957,C,266,11934,4364.636811697716,2.7342481207177514
1958,C,237,12171,4364.636811697716,2.788548171380573
1959,C,125,12296,4364.636811697716,2.817187438607799
1960,C,325,12621,4364.636811697716,2.891649533398587
1961,C,515,13136,4364.636811697716,3.00964331437476
1962,C,920,14056,4364.636811697716,3.2204283211671454
1963,C,823,14879,4364.636811697716,3.408989256591204
1964,C,598,15477,4364.636811697716,3.5459995110062543
1965,C,1251,16728,4364.636811697716,3.8326212974163356
1966,C,1189,17917,4364.636811697716,4.1050380072817125
1967,C,2087,20004,4364.636811697716,4.583199212907483
1968,C,2669,22673,4364.636811697716,5.194704846743219
1969,C,4437,27110,4364.636811697716,6.211284276240845
1970,C,2818,29928,4364.636811697716,6.856927916611435
1971,C,1523,31451,4364.636811697716,7.205868748507961
1972,C,1296,32747,4364.636811697716,7.502800671119843
1973,C,1643,34390,4364.636811697716,7.879235199554506
1974,C,2070,36460,4364.636811697716,8.353501464837374
1975,C,3464,39924,4364.636811697716,9.14715283823827
1976,C,3700,43624,4364.636811697716,9.99487514816417
1977,C,2467,46091,4364.636811697716,10.560099726160708
1978,C,2381,48472,4364.636811697716,11.105620488304915
1979,C,2287,50759,4364.636811697716,11.629604521494247
1980,C,2010,52769,4364.636811697716,12.090123938508047
1981,C,1431,54200,4364.636811697716,12.417986269725334
1982,C,1459,55659,4364.636811697716,12.75226379680152
1983,C,1352,57011,4364.636811697716,13.0620261111312
1984,C,1346,58357,4364.636811697716,13.370413740633973
1985,C,1009,59366,4364.636811697716,13.601589905692144
1986,C,1096,60462,4364.636811697716,13.852699000740463
1987,C,3745,64207,4364.636811697716,14.710731446868165
1988,C,5574,69781,4364.636811697716,15.987813651064641
1989,C,3179,72960,4364.636811697716,16.71616749518746
1990,C,1787,74747,4364.636811697716,17.125594459467887
1991,C,2372,77119,4364.636811697716,17.669053194371735
1992,C,2182,79301,4364.636811697716,18.168980243090196
1993,C,2372,81673,4364.636811697716,18.712438977994044
1994,C,2593,84266,4364.636811697716,19.306531937355626
1995,C,4324,88590,4364.636811697716,20.29722146927984
1996,C,3356,91946,4364.636811697716,21.06612851579641
1997,C,5126,97072,4364.636811697716,22.24056758625051
1998,C,8347,105419,4364.636811697716,24.152983294615773
1999,C,14400,119819,4364.636811697716,27.452226879192246
2000,C,18115,137934,4364.636811697716,31.602629485761884
2001,C,15763,153697,4364.636811697716,35.21415564018403
2002,C,18008,171705,4364.636811697716,39.34004303400717
2003,C,18542,190247,4364.636811697716,43.58827737742501
2004,C,20712,210959,4364.636811697716,48.333689399907506
2005,C,27371,238330,4364.636811697716,54.604772466118796
2006,C,45569,283899,4364.636811697716,65.0452746123386
2007,C,56744,340643,4364.636811697716,78.04612724867245
2008,C,75216,415859,4364.636811697716,95.2791762387769
2009,C,90939,506798,4364.636811697716,116.11458681779077
2010,C,104294,611092,4364.636811697716,140.0098167073615
2011,C,134743,745835,4364.636811697716,170.88134297934675
2012,C,160130,905965,4364.636811697716,207.56938986811278
2013,C,171688,1077653,4364.636811697716,246.90553796177704
2014,C,220457,1298110,4364.636811697716,297.4153534426781
2015,C,211584,1509694,4364.636811697716,345.89223917872175
2016,C,228074,1737768,4364.636811697716,398.14721704738105
2017,C,279144,2016912,4364.636811697716,462.103053934396
2018,C,358338,2375250,4364.636811697716,544.2033558517546
2019,C,429258,2804508,4364.636811697716,642.5524324231524
2020,C,713063,3517571,4364.636811697716,805.9252468779338
2021,C,792314,4309885,4364.636811697716,987.4555858689146
2022,C,10988,4320873,4364.636811697716,989.9730920152567
1932,D,199,199,2688.5107448237172,0.07401867386364053
1933,D,214,413,2688.5107448237172,0.15361664475217857
1934,D,219,632,2688.5107448237172,0.23507438131568248
1935,D,120,752,2688.5107448237172,0.2797087575148627
1936,D,96,848,2688.5107448237172,0.31541625847420685
1937,D,64,912,2688.5107448237172,0.33922125911376966
1938,D,510,1422,2688.5107448237172,0.5289173579602856
1939,D,606,2028,2688.5107448237172,0.7543209577661456
1940,D,579,2607,2688.5107448237172,0.9696818229271902
1941,D,259,2866,2688.5107448237172,1.0660176848904208
1942,D,115,2981,2688.5107448237172,1.1087922954146352
1943,D,49,3030,2688.5107448237172,1.1270179990293006
1944,D,156,3186,2688.5107448237172,1.1850426880882348
1945,D,126,3312,2688.5107448237172,1.231908783097374
1946,D,940,4252,2688.5107448237172,1.5815447299909524
1947,D,343,4595,2688.5107448237172,1.709124655293609
1948,D,242,4837,2688.5107448237172,1.799137313961956
1949,D,597,5434,2688.5107448237172,2.0211933355528773
1950,D,354,5788,2688.5107448237172,2.1528647453404592
1951,D,312,6100,2688.5107448237172,2.2689141234583277
1952,D,401,6501,2688.5107448237172,2.4180673305905884
1953,D,307,6808,2688.5107448237172,2.532256943033491
1954,D,2070,8878,2688.5107448237172,3.3021999324693496
1955,D,712,9590,2688.5107448237172,3.5670305645844858
1956,D,2232,11822,2688.5107448237172,4.397229961889238
1957,D,1007,12829,2688.5107448237172,4.771786768827358
1958,D,519,13348,2688.5107448237172,4.964830445888813
1959,D,500,13848,2688.5107448237172,5.150807013385397
1960,D,741,14589,2688.5107448237172,5.426424286415335
1961,D,759,15348,2688.5107448237172,5.708736715875149
1962,D,867,16215,2688.5107448237172,6.031220083914227
1963,D,671,16886,2688.5107448237172,6.280800637494643
1964,D,828,17714,2688.5107448237172,6.588777833268987
1965,D,967,18681,2688.5107448237172,6.94845651480738
1966,D,381,19062,2688.5107448237172,7.090170659239777
1967,D,363,19425,2688.5107448237172,7.225189647242297
1968,D,503,19928,2688.5107448237172,7.412282074143861
1969,D,621,20549,2688.5107448237172,7.643264970974619
1970,D,407,20956,2688.5107448237172,7.794649896916838
1971,D,437,21393,2688.5107448237172,7.957193416908853
1972,D,751,22144,2688.5107448237172,8.236530221288723
1973,D,514,22658,2688.5107448237172,8.427714132675211
1974,D,823,23481,2688.5107448237172,8.733831562774588
1975,D,551,24032,2688.5107448237172,8.938777740155825
1976,D,981,25013,2688.5107448237172,9.303663765584123
1977,D,997,26010,2688.5107448237172,9.674501041172311
1978,D,2548,28558,2688.5107448237172,10.622237629134904
1979,D,2577,31135,2688.5107448237172,11.580760858012301
1980,D,1440,32575,2688.5107448237172,12.116373372402462
1981,D,1092,33667,2688.5107448237172,12.522546195815004
1982,D,2079,35746,2688.5107448237172,13.2958367634658
1983,D,2016,37762,2688.5107448237172,14.045694283612027
1984,D,1826,39588,2688.5107448237172,14.724880708109554
1985,D,1317,40905,2688.5107448237172,15.214742986895557
1986,D,1478,42383,2688.5107448237172,15.76448972041546
1987,D,1495,43878,2688.5107448237172,16.320559657230245
